"file","caption","category","png_time"
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt3sex1.png","Female ending year selectivity for 3_CA_SouthOf4010_Rec_PC","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt3sex2.png","Male ending year selectivity for 3_CA_SouthOf4010_Rec_PC","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt4sex1.png","Female ending year selectivity for 4_CA_SouthOf4010_Rec_PR","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt4sex2.png","Male ending year selectivity for 4_CA_SouthOf4010_Rec_PR","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt5sex1.png","Female ending year selectivity for 5_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt5sex2.png","Male ending year selectivity for 5_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt6sex1.png","Female ending year selectivity for 6_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt6sex2.png","Male ending year selectivity for 6_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt7sex1.png","Female ending year selectivity for 7_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt7sex2.png","Male ending year selectivity for 7_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt8sex1.png","Female ending year selectivity for 8_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt8sex2.png","Male ending year selectivity for 8_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt1sex1.png","Female ending year selectivity and growth for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt1sex2.png","Male ending year selectivity and growth for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt2sex1.png","Female ending year selectivity and growth for 2_CA_SouthOf4010_Comm_Live","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt2sex2.png","Male ending year selectivity and growth for 2_CA_SouthOf4010_Comm_Live","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt3sex1.png","Female ending year selectivity and growth for 3_CA_SouthOf4010_Rec_PC","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt3sex2.png","Male ending year selectivity and growth for 3_CA_SouthOf4010_Rec_PC","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt4sex1.png","Female ending year selectivity and growth for 4_CA_SouthOf4010_Rec_PR","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt4sex2.png","Male ending year selectivity and growth for 4_CA_SouthOf4010_Rec_PR","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt5sex1.png","Female ending year selectivity and growth for 5_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt5sex2.png","Male ending year selectivity and growth for 5_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt6sex1.png","Female ending year selectivity and growth for 6_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt6sex2.png","Male ending year selectivity and growth for 6_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt7sex1.png","Female ending year selectivity and growth for 7_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt7sex2.png","Male ending year selectivity and growth for 7_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt8sex1.png","Female ending year selectivity and growth for 8_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel21_agelen_contour_flt8sex2.png","Male ending year selectivity and growth for 8_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts1_Total_biomass_(mt).png","Total biomass (mt)","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts4_Summary_biomass_(mt).png","Summary biomass (mt)","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts7_Spawning_biomass_(mt).png","Spawning biomass (mt)","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts7_Spawning_biomass_(mt)_with_95_asymptotic_intervals_intervals.png","Spawning biomass (mt) with ~95% asymptotic intervals","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts9_Spawning_depletion.png","Spawning depletion","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts9_Spawning_depletion_with_95_asymptotic_intervals_intervals.png","Spawning depletion with ~95% asymptotic intervals","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/ts11_Age-0_recruits_(1000s)_with_95_asymptotic_intervals.png","Age-0 recruits (1,000s) with ~95% asymptotic intervals","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)","Timeseries",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//SR_curve.png","Spawner-recruit curve","S-R",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//SR_curve2.png","Spawner-recruit curve with labels on first, last, and years with (log) deviations > 0.5","S-R",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch1 landings.png","landings","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch2 landings stacked.png","landings stacked","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch4 total catch (including discards).png","total catch (including discards)","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch5 total catch (including discards) stacked.png","total catch (including discards) stacked","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch6 discards.png","discards","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch7 discards stacked plot (depends on multiple fleets).png","discards stacked plot (depends on multiple fleets)","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch8 discard fraction.png","discard fraction","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//catch9 harvest rate.png","harvest rate","Catch",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots///SPR1_series.png","Timeseries of SPR","SPR",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots///SPR2_minusSPRseries.png","Timeseries of 1-SPR","SPR",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots///SPR3_ratiointerval.png","Timeseries of SPR ratio","SPR",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots///SPR4_phase.png","Phase plot of biomass ratio vs. SPR ratio","SPR",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/discard_fit2_CA_SouthOf4010_Comm_Live.png","Total discard for 2_CA_SouthOf4010_Comm_Live","Discard",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index2_cpuefit_3_CA_SouthOf4010_Rec_PC.png","Fit to index data for 3_CA_SouthOf4010_Rec_PC","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index3_cpuecheck_3_CA_SouthOf4010_Rec_PC.png","Observed vs. expected index values with smoother for 3_CA_SouthOf4010_Rec_PC","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index5_logcpuefit_3_CA_SouthOf4010_Rec_PC.png","Fit to index data on log scale for 3_CA_SouthOf4010_Rec_PC","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index6_logcpuecheck_3_CA_SouthOf4010_Rec_PC.png","log(observed) vs. log(expected) index values with smoother for 3_CA_SouthOf4010_Rec_PC","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index2_cpuefit_5_CA_SouthOf4010_Rec_PC_DWV_index.png","Fit to index data for 5_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index3_cpuecheck_5_CA_SouthOf4010_Rec_PC_DWV_index.png","Observed vs. expected index values with smoother for 5_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index5_logcpuefit_5_CA_SouthOf4010_Rec_PC_DWV_index.png","Fit to index data on log scale for 5_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index6_logcpuecheck_5_CA_SouthOf4010_Rec_PC_DWV_index.png","log(observed) vs. log(expected) index values with smoother for 5_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index2_cpuefit_6_CA_SouthOf4010_Rec_PC_onboard_index.png","Fit to index data for 6_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index3_cpuecheck_6_CA_SouthOf4010_Rec_PC_onboard_index.png","Observed vs. expected index values with smoother for 6_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index5_logcpuefit_6_CA_SouthOf4010_Rec_PC_onboard_index.png","Fit to index data on log scale for 6_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//index6_logcpuecheck_6_CA_SouthOf4010_Rec_PC_onboard_index.png","log(observed) vs. log(expected) index values with smoother for 6_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers1_sex1_beg.png","Beginning of year expected numbers at age of females in (max ~ 153.8 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers1_sex2_beg.png","Beginning of year expected numbers at age of males in (max ~ 153.8 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers2_meanage_beg.png","Beginning of year mean age in the population","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers1_sex1_mid.png","Middle of year expected numbers at age of females in (max ~ 146.1 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers1_sex2_mid.png","Middle of year expected numbers at age of males in (max ~ 146.1 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers2_meanage_mid.png","Middle of year mean age in the population","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers6_len_sex1.png","Beginning of year expected numbers at length of females in (max ~ 379.6 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers6_len_sex2.png","Beginning of year expected numbers at length of males in (max ~ 379.6 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers7_meanlen.png","Beginning of year mean length (cm) in the population","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers6_len_sex1.png","Middle of year expected numbers at length of females in (max ~ 295.4 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers6_len_sex2.png","Middle of year expected numbers at length of males in (max ~ 295.4 thousand)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers7_meanlen.png","Middle of year mean length (cm) in the population","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers4_equilagecomp.png","Equilibrium age distribution","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers5_ageerrorSD.png","Ageing imprecision: SD of observed age (yr)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers5_ageerrorMeans.png","Ageing imprecision: Mean observed age (yr)","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers5_ageerror_matrix_1.png","Ageing imprecision: matrix for method 1","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//numbers5_ageerror_matrix_2.png","Ageing imprecision: matrix for method 2","Numbers",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_flt1mkt2.png","length comps, retained, 1_CA_SouthOf4010_Comm_Dead","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_residsflt1mkt2.png","Pearson residuals, retained, 1_CA_SouthOf4010_Comm_Dead (max=1.11) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/comp_lenfit_sampsize_flt1mkt2.png","N-EffN comparison, length comps, retained, 1_CA_SouthOf4010_Comm_Dead","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_data_weighting_TA1.8_1_CA_SouthOf4010_Comm_Dead.png","Francis data weighting method TA1.8 1_CA_SouthOf4010_Comm_Dead <br> Suggested sample size adjustment (with 95% interval) for len data from 1_CA_SouthOf4010_Comm_Dead:<br>1.0515 (0.7948-6.6754)","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_flt2mkt2.png","length comps, retained, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_residsflt2mkt2.png","Pearson residuals, retained, 2_CA_SouthOf4010_Comm_Live (max=6.04) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/comp_lenfit_sampsize_flt2mkt2.png","N-EffN comparison, length comps, retained, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_data_weighting_TA1.8_2_CA_SouthOf4010_Comm_Live.png","Francis data weighting method TA1.8 2_CA_SouthOf4010_Comm_Live <br> Suggested sample size adjustment (with 95% interval) for len data from 2_CA_SouthOf4010_Comm_Live:<br>1.0078 (0.6342-3.8644)","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_flt2mkt1.png","length comps, discard, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_residsflt2mkt1.png","Pearson residuals, discard, 2_CA_SouthOf4010_Comm_Live (max=4.1) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/comp_lenfit_sampsize_flt2mkt1.png","N-EffN comparison, length comps, discard, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//comp_lenfit_data_weighting_TA1.8_2_CA_SouthOf4010_Comm_Live.png","Francis data weighting method TA1.8 2_CA_SouthOf4010_Comm_Live <br> Suggested sample size adjustment (with 95% interval) for len data from 2_CA_SouthOf4010_Comm_Live:<br>1.0078 (0.6368-3.4829)","LenComp",2015-06-11 00:55:25
